iter	Passed	Remaining
657	45744	93295
658	45802	93203
659	45861	93113
660	45920	93021
661	45977	92927
662	46035	92833
663	46091	92738
664	46150	92647
665	46294	92728
666	46361	92653
667	46431	92584
668	46498	92511
669	46559	92423
670	46616	92329
671	46675	92238
672	46735	92152
673	46794	92061
674	46854	91974
675	46912	91882
676	46974	91798
677	47032	91705
678	47091	91617
679	47149	91525
680	47209	91437
681	47268	91348
682	47418	91434
683	47542	91471
684	47609	91396
685	47667	91304
686	47726	91215
687	47785	91125
688	47844	91037
689	47904	90948
690	47963	90859
691	48022	90770
692	48083	90684
693	48142	90596
694	48203	90512
695	48262	90423
696	48320	90332
697	48379	90243
698	48439	90157
699	48513	90095
700	48656	90163
701	48724	90091
702	48783	90002
703	48843	89917
704	48900	89824
705	48960	89737
706	49020	89651
707	49077	89559
708	49136	89472
709	49195	89384
710	49257	89301
711	49315	89210
712	49375	89125
713	49434	89036
714	49491	88946
715	49547	88854
716	49618	88787
717	49760	88847
718	49824	88768
719	49893	88699
720	49950	88608
721	50010	88523
722	50069	88435
723	50128	88348
724	50186	88258
725	50244	88170
726	50303	88083
727	50362	87996
728	50421	87909
729	50479	87819
730	50538	87732
731	50596	87645
732	50655	87558
733	50716	87474
734	50930	87656
735	51002	87591
736	51069	87517
737	51129	87432
738	51187	87345
739	51249	87262
740	51308	87175
741	51367	87088
742	51424	86999
743	51480	86908
744	51538	86820
745	51597	86733
746	51655	86645
747	51714	86559
748	51771	86469
749	51834	86390
750	51902	86319
751	52046	86375
752	52120	86313
753	52192	86249
754	52259	86177
755	52327	86104
756	52398	86038
757	52466	85967
758	52532	85892
759	52599	85820
760	52666	85747
761	52733	85674
762	52798	85599
763	52866	85527
764	52933	85455
765	52998	85378
766	53091	85347
767	53223	85379
768	53298	85319
769	53365	85245
770	53434	85175
771	53499	85100
772	53566	85027
773	53634	84956
774	53699	84879
775	53763	84802
776	53830	84728
777	53896	84655
778	53963	84582
779	54029	84507
780	54096	84434
781	54166	84366
782	54416	84578
783	54505	84539
784	54591	84495
785	54664	84431
786	54731	84357
787	54798	84283
788	54865	84210
789	54931	84135
790	54997	84061
791	55066	83989
792	55131	83914
793	55197	83838
794	55265	83767
795	55332	83694
796	55429	83665
797	55574	83709
798	55650	83650
799	55720	83580
800	55791	83513
801	55862	83444
802	55929	83371
803	55998	83301
804	56065	83227
805	56130	83151
806	56197	83077
807	56263	83002
808	56331	82930
809	56400	82859
810	56466	82785
811	56566	82760
812	56709	82797
813	56796	82753
814	56860	82674
815	56928	82601
816	56992	82524
817	57061	82453
818	57133	82386
819	57199	82311
820	57270	82243
821	57339	82173
822	57406	82098
823	57462	82010
824	57522	81925
825	57578	81836
826	57634	81747
827	57776	81779
828	57842	81705
829	57907	81628
830	57965	81542
831	58026	81459
832	58087	81378
833	58146	81294
834	58206	81209
835	58264	81124
836	58325	81042
837	58382	80955
838	58441	80870
839	58502	80789
840	58561	80704
841	58619	80619
842	58678	80535
843	58736	80450
844	58904	80513
845	59023	80512
846	59091	80440
847	59157	80364
848	59214	80277
849	59276	80198
850	59339	80119
851	59403	80040
852	59466	79963
853	59526	79879
854	59586	79797
855	59646	79714
856	59705	79630
857	59763	79544
858	59821	79459
859	59891	79390
860	59957	79316
861	60103	79347
862	60172	79277
863	60239	79204
864	60301	79124
865	60362	79043
866	60423	78961
867	60485	78882
868	60552	78808
869	60617	78733
870	60680	78654
871	60743	78576
872	60804	78496
873	60864	78413
874	60924	78330
875	60985	78250
876	61046	78170
877	61122	78109
878	61276	78146
879	61350	78082
880	61416	78008
881	61478	77928
882	61538	77846
883	61599	77765
884	61661	77687
885	61723	77607
886	61784	77526
887	61847	77449
888	61909	77370
889	61969	77287
890	62028	77204
891	62088	77123
892	62148	77042
893	62211	76963
894	62384	77022
895	62514	77026
896	62581	76953
897	62650	76882
898	62718	76811
899	62781	76733
900	62844	76655
901	62904	76572
902	62965	76492
903	63032	76419
904	63106	76355
905	63170	76279
906	63237	76205
907	63313	76143
908	63380	76070
909	63445	75995
910	63612	76042
911	63693	75984
912	63766	75919
913	63842	75856
914	63904	75777
915	63974	75708
916	64040	75633
917	64111	75565
918	64178	75492
919	64244	75417
920	64305	75337
921	64372	75264
922	64435	75186
923	64500	75110
924	64564	75034
925	64643	74975
926	64792	74997
927	64865	74931
928	64931	74855
929	64995	74779
930	65058	74701
931	65121	74624
932	65186	74549
933	65251	74472
934	65313	74394
935	65377	74317
936	65441	74241
937	65506	74166
938	65570	74090
939	65630	74009
940	65694	73932
941	65854	73963
942	65980	73957
943	66044	73879
944	66114	73810
945	66186	73743
946	66246	73662
947	66307	73581
948	66369	73503
949	66425	73418
950	66481	73332
951	66539	73249
952	66596	73164
953	66655	73082
954	66707	72994
955	66765	72911
956	66821	72826
957	66878	72742
958	66934	72657
959	67079	72668
960	67140	72589
961	67201	72510
962	67258	72426
963	67311	72338
964	67365	72251
965	67419	72165
966	67473	72078
967	67528	71992
968	67585	71910
969	67642	71826
970	67696	71740
971	67753	71656
972	67818	71582
973	67881	71505
974	67947	71431
975	68020	71366
976	68137	71345
977	68291	71364
978	68355	71287
979	68414	71206
980	68470	71122
981	68528	71040
982	68586	70959
983	68643	70875
984	68699	70791
